engine_id,flight_cycle,max_cycle,sensor_T24,sensor_T30,sensor_T50,sensor_P30,sensor_Nf,sensor_Nc,vibration_rms,RUL_cycles
1,1,242,641.78,1585.62,1400.43,553.41,2387.95,9049.91,0.019,241
1,2,242,641.8,1585.47,1399.16,553.02,2387.99,9050.02,0.0237,240
1,3,242,641.79,1584.86,1400.2,552.77,2388.01,9049.98,0.0284,239
1,4,242,641.96,1584.37,1401.72,552.39,2388.06,9050.55,0.0217,238
1,5,242,642.45,1585.45,1399.66,552.65,2388.03,9049.51,0.0209,237
1,6,242,641.86,1584.45,1400.07,552.95,2388.06,9050.49,0.0245,236
1,7,242,641.64,1586.44,1400.71,553.79,2388.01,9051.15,0.0264,235
1,8,242,642.04,1583.2,1400.66,552.74,2387.97,9049.98,0.0242,234
1,9,242,641.38,1584.06,1400.85,553.2,2388.03,9050.13,0.027,233
1,10,242,642.1,1584.82,1401.06,552.92,2387.96,9050.86,0.0288,232
1,11,242,641.38,1585.79,1398.18,553.31,2387.95,9050.56,0.0232,231
1,12,242,642.14,1583.38,1399.77,552.97,2388.05,9051.27,0.0268,230
1,13,242,642.13,1583.8,1398.75,553.05,2388.01,9050.44,0.0272,229
1,14,242,642.16,1583.29,1400.84,552.96,2387.95,9049.73,0.021,228
1,15,242,641.88,1585.95,1399.74,552.73,2387.99,9050.35,0.0211,227
1,16,242,641.61,1585.21,1398.92,553.57,2387.99,9049.4,0.0228,226
1,17,242,641.83,1584.39,1398.17,553.36,2388.0,9050.02,0.0277,225
1,18,242,641.61,1584.17,1400.47,552.96,2388.01,9049.98,0.0245,224
1,19,242,642.6,1586.37,1397.82,553.42,2388.1,9050.91,0.0247,223
1,20,242,641.76,1585.97,1399.52,553.08,2388.0,9050.9,0.0242,222
1,21,242,641.86,1585.56,1401.82,552.99,2387.98,9050.66,0.0275,221
1,22,242,641.66,1584.48,1401.08,553.1,2387.87,9050.4,0.0282,220
1,23,242,641.71,1585.95,1401.79,553.08,2387.96,9049.7,0.0255,219
1,24,242,642.2,1585.22,1400.56,552.92,2388.0,9050.75,0.0223,218
